"Type","Timestamp","Player ID","Colour","Role"
"Move","03-26-2019 11:37:04","200","blue","leader"
"TestPiece","03-26-2019 11:37:04","200","blue","leader"
"TakePiece","03-26-2019 11:37:04","200","blue","leader"
"Move","03-26-2019 11:37:04","201","blue","member"
"TestPiece","03-26-2019 11:37:04","201","blue","member"
"TakePiece","03-26-2019 11:37:04","201","blue","member"
"Move","03-26-2019 11:37:04","202","blue","member"
"TestPiece","03-26-2019 11:37:04","202","blue","member"
"TakePiece","03-26-2019 11:37:04","202","blue","member"
"Move","03-26-2019 11:37:04","100","red","leader"
"TestPiece","03-26-2019 11:37:04","100","red","leader"
"TakePiece","03-26-2019 11:37:04","100","red","leader"
"Move","03-26-2019 11:37:04","101","red","member"
"TestPiece","03-26-2019 11:37:04","101","red","member"
"TakePiece","03-26-2019 11:37:04","101","red","member"
"Move","03-26-2019 11:37:04","102","red","member"
"TestPiece","03-26-2019 11:37:04","102","red","member"
"TakePiece","03-26-2019 11:37:04","102","red","member"
"Move","03-26-2019 11:37:05","200","blue","leader"
"TestPiece","03-26-2019 11:37:05","200","blue","leader"
"TakePiece","03-26-2019 11:37:05","200","blue","leader"
"Move","03-26-2019 11:37:05","201","blue","member"
"TestPiece","03-26-2019 11:37:05","201","blue","member"
"TakePiece","03-26-2019 11:37:05","201","blue","member"
"Move","03-26-2019 11:37:05","202","blue","member"
"Move","03-26-2019 11:37:05","100","red","leader"
"TestPiece","03-26-2019 11:37:05","100","red","leader"
"TakePiece","03-26-2019 11:37:05","100","red","leader"
"Move","03-26-2019 11:37:05","101","red","member"
"TestPiece","03-26-2019 11:37:05","101","red","member"
"TakePiece","03-26-2019 11:37:05","101","red","member"
"Move","03-26-2019 11:37:05","102","red","member"
"TestPiece","03-26-2019 11:37:05","102","red","member"
"TakePiece","03-26-2019 11:37:05","102","red","member"
"Move","03-26-2019 11:37:06","200","blue","leader"
"Move","03-26-2019 11:37:06","201","blue","member"
"Move","03-26-2019 11:37:06","202","blue","member"
"Move","03-26-2019 11:37:06","100","red","leader"
"TestPiece","03-26-2019 11:37:06","100","red","leader"
"TakePiece","03-26-2019 11:37:06","100","red","leader"
"Move","03-26-2019 11:37:06","101","red","member"
"TestPiece","03-26-2019 11:37:06","101","red","member"
"TakePiece","03-26-2019 11:37:06","101","red","member"
"Move","03-26-2019 11:37:06","102","red","member"
"TestPiece","03-26-2019 11:37:06","102","red","member"
"TakePiece","03-26-2019 11:37:06","102","red","member"
"Move","03-26-2019 11:37:07","200","blue","leader"
"Move","03-26-2019 11:37:07","201","blue","member"
"PlacePiece","03-26-2019 11:37:07","202","blue","member"
"Move","03-26-2019 11:37:07","100","red","leader"
"TestPiece","03-26-2019 11:37:07","100","red","leader"
"TakePiece","03-26-2019 11:37:07","100","red","leader"
"Move","03-26-2019 11:37:07","101","red","member"
"TestPiece","03-26-2019 11:37:07","101","red","member"
"TakePiece","03-26-2019 11:37:07","101","red","member"
"Move","03-26-2019 11:37:07","102","red","member"
"TestPiece","03-26-2019 11:37:07","102","red","member"
"TakePiece","03-26-2019 11:37:07","102","red","member"
"Move","03-26-2019 11:37:08","200","blue","leader"
"Move","03-26-2019 11:37:08","201","blue","member"
"Move","03-26-2019 11:37:08","202","blue","member"
"TestPiece","03-26-2019 11:37:08","202","blue","member"
"TakePiece","03-26-2019 11:37:08","202","blue","member"
"Move","03-26-2019 11:37:08","100","red","leader"
"Move","03-26-2019 11:37:08","101","red","member"
"Move","03-26-2019 11:37:08","102","red","member"
"TestPiece","03-26-2019 11:37:08","102","red","member"
"TakePiece","03-26-2019 11:37:08","102","red","member"
"PlacePiece","03-26-2019 11:37:09","200","blue","leader"
"Move","03-26-2019 11:37:09","201","blue","member"
"Move","03-26-2019 11:37:09","202","blue","member"
